time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,new_ehc_plans,mainstream_la_maintained,mainstream_la_maintained_resourced_provision,mainstream_la_maintained_senunit,mainstream_academy,mainstream_academy_resourced_provision,mainstream_academy_senunit,mainstream_free_school,mainstream_free_school_resourced_provision,mainstream_free_school_senunit,mainstream_independent,mainstream_total,mainstream_total_pc,special_la_maintained,special_academy_free,special_independent,special_non_maintained,special_total,special_total_pc,ap_pru_academy,ap_pru_free_school,ap_pru_la_maintained,ap_pru_total,AP_PRU_total_pc,general_fe_tertiary_colleges,specialist_post_16_institutions,ukrlp_provider,fe_total,fe_total_pc,elective_home_education,other_arrangements_la,other_arrangements_parents,online_provider,w_settings,other_schools,other_placement_settings,neet,neet_ntci,neet_other,neet_other_csa,ed_elsewhere,ed_elsewhere_pc,nm_early_years,nm_early_years_pc,placement_unknown,placement_unknown_pc,await_prov_2022,perm_ex_2022
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,382,Kirklees,New EHC plans,New EHC plans,403,262,2,0,46,0,0,5,0,0,2,317,78.7,14,6,4,2,26,6.5,0,0,10,10,2.5,11,11,x,22,5.5,x,0,0,x,x,x,0,x,x,x,x,4,1,11,2.7,x,x,12,1
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,383,Leeds,New EHC plans,New EHC plans,594,262,5,0,105,1,0,4,0,0,1,378,63.6,65,42,13,13,133,22.4,0,3,0,3,0.5,39,13,x,52,8.8,x,2,6,x,x,x,0,x,x,x,x,9,1.5,10,1.7,x,x,9,0
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000036,384,Wakefield,New EHC plans,New EHC plans,346,98,3,0,163,0,0,0,0,0,0,264,76.3,24,0,4,0,28,8.1,0,0,26,26,7.5,8,1,x,9,2.6,x,0,1,x,x,x,2,x,x,x,x,4,1.2,11,3.2,x,x,2,0
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,810,"Kingston upon Hull, City of",New EHC plans,New EHC plans,320,14,0,0,200,0,1,3,0,0,0,218,68.1,5,12,1,0,18,5.6,34,14,0,48,15,7,0,x,7,2.2,x,1,0,x,x,x,0,x,x,x,x,4,1.3,24,7.5,x,x,1,0
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000011,811,East Riding of Yorkshire,New EHC plans,New EHC plans,391,190,9,0,106,0,0,1,0,0,1,307,78.5,12,2,4,0,18,4.6,5,0,13,18,4.6,11,0,x,11,2.8,x,4,0,x,x,x,0,x,x,x,x,9,2.3,24,6.1,x,x,3,1
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000012,812,North East Lincolnshire,New EHC plans,New EHC plans,197,11,0,0,119,1,0,0,0,0,1,132,67,1,20,23,1,45,22.8,2,0,0,2,1,8,0,x,8,4.1,x,2,6,x,x,x,0,x,x,x,x,9,4.6,0,0,x,x,1,0
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000013,813,North Lincolnshire,New EHC plans,New EHC plans,121,57,0,0,34,0,0,0,0,0,1,92,76,15,0,7,0,22,18.2,0,0,0,0,0,3,0,x,3,2.5,x,0,0,x,x,x,0,x,x,x,x,2,1.7,0,0,x,x,2,0
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E10000023,815,North Yorkshire,New EHC plans,New EHC plans,433,187,5,0,132,2,0,0,0,0,6,332,76.7,35,10,7,1,53,12.2,3,0,4,7,1.6,20,0,x,20,4.6,x,0,0,x,x,x,0,x,x,x,x,4,0.9,17,3.9,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000014,816,York,New EHC plans,New EHC plans,150,44,0,0,76,0,0,0,0,0,1,121,80.7,2,0,0,0,2,1.3,0,0,0,0,0,5,0,x,5,3.3,x,0,0,x,x,x,0,x,x,x,x,7,4.7,15,10,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000007,830,Derbyshire,New EHC plans,New EHC plans,519,262,5,0,92,0,0,0,0,0,1,360,69.4,76,2,10,2,90,17.3,0,0,9,9,1.7,12,1,x,13,2.5,x,8,10,x,x,x,0,x,x,x,x,19,3.7,15,2.9,x,x,13,0
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E06000015,831,Derby,New EHC plans,New EHC plans,251,72,10,0,90,6,0,2,0,0,1,181,72.1,26,16,5,0,47,18.7,0,0,5,5,2,4,1,x,5,2,x,0,2,x,x,x,0,x,x,x,x,6,2.4,6,2.4,x,x,1,0
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000018,855,Leicestershire,New EHC plans,New EHC plans,760,206,0,27,269,0,17,0,0,0,5,524,68.9,25,45,17,0,87,11.4,0,0,2,2,0.3,21,0,x,21,2.8,x,0,0,x,x,x,0,x,x,x,x,8,1.1,8,1.1,x,x,110,0
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E06000016,856,Leicester,New EHC plans,New EHC plans,268,104,1,0,75,1,0,1,0,0,1,183,68.3,57,7,2,0,66,24.6,0,0,1,1,0.4,11,1,x,12,4.5,x,0,0,x,x,x,0,x,x,x,x,0,0,6,2.2,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E06000017,857,Rutland,New EHC plans,New EHC plans,31,2,0,2,20,0,1,0,0,0,0,25,80.6,0,0,3,0,3,9.7,0,0,0,0,0,1,0,x,1,3.2,x,1,0,x,x,x,0,x,x,x,x,1,3.2,1,3.2,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000024,891,Nottinghamshire,New EHC plans,New EHC plans,363,96,0,0,130,0,0,2,0,0,4,232,63.9,38,20,10,5,73,20.1,0,0,0,0,0,20,1,x,21,5.8,x,19,0,x,x,x,0,x,x,x,x,25,6.9,4,1.1,x,x,8,0
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E06000018,892,Nottingham,New EHC plans,New EHC plans,159,22,0,0,77,3,0,2,0,0,0,104,65.4,12,24,1,3,40,25.2,1,0,0,1,0.6,1,0,x,1,0.6,x,0,10,x,x,x,0,x,x,x,x,12,7.5,0,0,x,x,1,0
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000019,925,Lincolnshire,New EHC plans,New EHC plans,747,245,0,0,239,0,0,2,0,0,4,490,65.6,40,65,14,0,119,15.9,7,1,0,8,1.1,23,3,x,26,3.5,x,23,0,x,x,x,0,x,x,x,x,42,5.6,62,8.3,x,x,0,0
2019,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,E10000021,928,Northamptonshire,New EHC plans,New EHC plans,608,96,0,1,221,9,17,5,0,0,2,351,57.7,61,109,26,0,196,32.2,5,15,0,20,3.3,9,2,x,11,1.8,x,0,0,x,x,x,9,x,x,x,x,2,0.3,11,1.8,x,x,8,0
2019,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,E08000025,330,Birmingham,New EHC plans,New EHC plans,898,301,39,0,87,13,0,4,0,0,14,458,51,141,89,12,1,243,27.1,0,0,12,12,1.3,19,6,x,25,2.8,x,1,0,x,x,x,17,x,x,x,x,14,1.6,12,1.3,x,x,112,5
2019,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,E08000026,331,Coventry,New EHC plans,New EHC plans,272,66,3,0,73,1,0,6,0,0,0,149,54.8,86,10,7,0,103,37.9,1,0,2,3,1.1,3,0,x,3,1.1,x,2,3,x,x,x,0,x,x,x,x,8,2.9,5,1.8,x,x,1,0
2019,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,E08000027,332,Dudley,New EHC plans,New EHC plans,444,150,0,2,99,0,6,3,0,0,6,266,59.9,73,1,13,0,87,19.6,1,0,2,3,0.7,43,1,x,44,9.9,x,0,3,x,x,x,0,x,x,x,x,6,1.4,19,4.3,x,x,19,0
2019,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,E08000028,333,Sandwell,New EHC plans,New EHC plans,267,129,10,0,72,3,0,1,0,0,2,217,81.3,12,0,8,0,20,7.5,0,0,1,1,0.4,11,1,x,12,4.5,x,0,0,x,x,x,0,x,x,x,x,2,0.7,9,3.4,x,x,6,0
