time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,num_new_plans,pc_new_plans
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Any other ethnic group,2,0.873362445
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Bangladeshi,4,1.746724891
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Caribbean,1,0.436681223
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Chinese,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,English/Welsh/Scottish/Northern Irish/British,182,79.47598253
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Gypsy/Roma,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Indian,1,0.436681223
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Irish,1,0.436681223
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Irish traveller,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Pakistani,1,0.436681223
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,Unknown,30,13.10043668
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,White and Asian,2,0.873362445
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,White and Black African,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Ethnicity minor,White and Black Caribbean,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Sex,Female,74,32.31441048
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Sex,Male,155,67.68558952
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Sex,Not known,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000023,393,South Tyneside,Total,Total,229,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,Ethnicity major,Asian/Asian British,12,3.603603604
