time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,age,ehcp_or_statement,num_new_plans,pc_new_plans
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Under 5,EHCP,102,31.384615
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Under 5,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000004,808,Stockton-on-Tees,Under 5,Total,102,31.384615
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 11 to 15,EHCP,53,30.285714
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 11 to 15,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 11 to 15,Total,53,30.285714
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 16 to 19,EHCP,7,4
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 16 to 19,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 16 to 19,Total,7,4
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 20 to 25,EHCP,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 20 to 25,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 20 to 25,Total,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 5 to 10,EHCP,80,45.714286
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 5 to 10,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 5 to 10,Total,80,45.714286
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Total,EHCP,175,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Total,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Total,Total,175,100
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Under 5,EHCP,35,20
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Under 5,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Under 5,Total,35,20
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 11 to 15,EHCP,179,33.086876
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 11 to 15,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 11 to 15,Total,179,33.086876
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 16 to 19,EHCP,21,3.881701
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 16 to 19,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 16 to 19,Total,21,3.881701
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 20 to 25,EHCP,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 20 to 25,Statement,z,z
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 20 to 25,Total,0,0
2023,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 5 to 10,EHCP,226,41.774492
