time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,dmo,dco,dmodcofunction
2024,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,N,N,z
2024,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,N,N,z
2024,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,N,N,z
2024,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,N,N,z
2024,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,N,N,z
2024,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,N,N,z
2024,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,N,N,z
2024,Calendar year,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,384,E08000036,Wakefield,N,N,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Y,Y,z
2024,Calendar year,Local authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Y,Y,z
