time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,age,ehcp_or_statement,num_caseload,pc_caseload,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 5 to 10,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Age 5 to 10,Total,330,32.16374,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Total,EHCP,1026,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Total,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Total,Total,1026,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Under 5,EHCP,44,4.2885,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Under 5,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000005,841,Darlington,Under 5,Total,44,4.2885,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 11 to 15,EHCP,1738,38.61364,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 11 to 15,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 11 to 15,Total,1738,38.61364,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 16 to 19,EHCP,1057,23.48367,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 16 to 19,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 16 to 19,Total,1057,23.48367,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 20 to 25,EHCP,284,6.30971,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 20 to 25,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 20 to 25,Total,284,6.30971,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 5 to 10,EHCP,1286,28.57143,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 5 to 10,Statement,z,z,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Age 5 to 10,Total,1286,28.57143,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Total,EHCP,4501,100,,,,,,,,
2024,Calendar year,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Total,Statement,z,z,,,,,,,,
